# ['video-games', 'baby', 'grocery-and-gourmet-food', 'digital-music', 'musical-instruments', 'pet-supplies', 'patio-lawn-and-garden', 'beauty', 'automotive', 'office-products']
prepared:[100, 112, 156, 84, 148, 68, 120, 0, 108, 56]
marley:[0, 0, 4, 80, 20, 4, 0, 4, 0, 0]
powering:[16, 0, 44, 0, 4, 8, 8, 64, 100, 0]
expressive:[12, 0, 0, 116, 396, 0, 4, 4, 0, 4]
olive:[0, 0, 416, 0, 0, 8, 8, 88, 8, 0]
inserting:[24, 20, 4, 0, 8, 28, 28, 0, 20, 12]
expecting:[260, 464, 332, 288, 304, 0, 128, 172, 152, 244]
vet:[4, 0, 4, 8, 16, 1716, 0, 8, 0, 8]
thinner:[16, 68, 36, 12, 0, 68, 56, 84, 76, 80]
cleaner:[24, 112, 40, 40, 60, 428, 128, 212, 352, 0]
sequence:[188, 12, 0, 92, 120, 8, 0, 0, 20, 24]
shipped:[272, 104, 568, 0, 100, 236, 428, 304, 356, 556]
concerto:[0, 0, 0, 16, 1128, 0, 0, 12, 0, 4]
cleaned:[36, 228, 0, 28, 52, 336, 152, 76, 212, 76]
kinking:[0, 0, 0, 0, 0, 0, 236, 0, 0, 0]
scientific:[32, 0, 8, 12, 0, 4, 12, 12, 0, 780]
winter:[0, 52, 340, 136, 236, 168, 548, 1280, 620, 56]
chunk:[12, 12, 40, 12, 16, 56, 24, 16, 0, 12]
muy:[16, 16, 16, 20, 60, 0, 4, 36, 16, 0]
jackson:[16, 0, 0, 444, 120, 8, 4, 12, 0, 8]
walking:[264, 284, 0, 224, 152, 276, 192, 44, 36, 28]
talks:[80, 20, 16, 176, 124, 40, 0, 8, 8, 16]
spend:[664, 744, 148, 0, 416, 576, 472, 252, 340, 388]
accompaniment:[4, 0, 24, 224, 356, 4, 0, 16, 0, 0]
axle:[0, 0, 0, 8, 0, 0, 88, 4, 68, 0]
summers:[4, 0, 12, 20, 16, 8, 132, 20, 16, 8]
grave:[8, 0, 8, 68, 112, 0, 8, 0, 0, 8]
advantage:[240, 64, 0, 64, 180, 1964, 92, 44, 48, 92]
spent:[584, 400, 0, 244, 340, 512, 420, 260, 276, 272]
toad:[120, 0, 0, 12, 0, 0, 4, 0, 8, 0]
humid:[0, 16, 8, 28, 0, 28, 24, 80, 32, 0]
jack:[120, 0, 32, 284, 1816, 216, 36, 16, 92, 80]
command:[160, 0, 4, 76, 152, 24, 4, 8, 12, 56]
ineffective:[12, 32, 0, 0, 0, 68, 32, 28, 28, 0]
stolen:[96, 0, 0, 76, 76, 16, 52, 0, 140, 84]
watering:[8, 12, 120, 8, 4, 4, 1044, 4, 0, 0]
anticipate:[20, 24, 8, 0, 56, 24, 40, 0, 20, 12]
revised:[8, 0, 0, 20, 60, 0, 0, 0, 16, 8]
irritated:[20, 16, 28, 8, 12, 28, 4, 244, 0, 4]
slightest:[52, 52, 24, 32, 36, 0, 48, 32, 28, 16]
landscape:[68, 28, 0, 104, 172, 4, 148, 0, 0, 12]
flavors:[4, 0, 1512, 32, 12, 56, 4, 0, 0, 0]
temporary:[0, 56, 24, 16, 12, 16, 28, 32, 24, 36]
hands:[940, 1260, 308, 504, 692, 672, 584, 2700, 0, 284]
saved:[280, 328, 112, 0, 112, 328, 340, 156, 352, 252]
year:[409, 1540, 612, 0, 632, 1198, 1057, 556, 900, 2840]
staying:[60, 76, 36, 68, 60, 28, 64, 116, 48, 0]
awful:[200, 256, 172, 244, 208, 160, 64, 204, 0, 112]
yeah:[488, 96, 116, 492, 192, 84, 88, 92, 96, 0]
politically:[8, 0, 8, 68, 64, 0, 8, 0, 0, 0]
laptop:[108, 20, 0, 8, 40, 8, 8, 0, 488, 124]
branch:[12, 4, 20, 12, 16, 16, 112, 4, 0, 16]
anguish:[0, 0, 4, 36, 92, 8, 0, 0, 0, 0]
nephews:[28, 92, 12, 0, 12, 8, 0, 0, 0, 12]
themes:[184, 0, 0, 320, 472, 0, 16, 4, 0, 28]
aswell:[32, 0, 0, 44, 12, 0, 0, 0, 8, 4]
music:[216, 868, 0, 3444, 5204, 0, 24, 140, 0, 80]
saves:[236, 328, 60, 0, 32, 276, 284, 144, 172, 76]
gallons:[4, 16, 24, 0, 0, 16, 76, 0, 40, 0]
vii:[848, 0, 0, 0, 0, 0, 0, 0, 0, 0]
understanding:[72, 36, 0, 152, 492, 28, 36, 28, 40, 96]
near:[604, 336, 432, 608, 600, 432, 452, 256, 388, 0]
silence:[12, 8, 4, 76, 148, 8, 0, 0, 28, 16]
because:[1084, 1300, 932, 0, 516, 1132, 940, 1436, 908, 1260]
chewer:[0, 0, 12, 0, 0, 996, 0, 0, 0, 0]
moving:[488, 388, 0, 780, 992, 324, 644, 96, 216, 120]
jive:[0, 0, 0, 152, 24, 0, 0, 0, 0, 0]
dealing:[52, 60, 0, 108, 120, 112, 92, 52, 52, 56]
inviting:[20, 8, 8, 60, 24, 0, 4, 0, 0, 20]
version:[2103, 0, 462, 2272, 2507, 505, 364, 548, 352, 609]
overload:[32, 0, 0, 0, 8, 12, 8, 8, 60, 8]
stop:[1312, 496, 300, 884, 716, 904, 896, 560, 568, 0]
guess:[724, 584, 0, 700, 652, 616, 596, 520, 572, 524]
science:[68, 20, 80, 40, 40, 244, 28, 12, 0, 256]
happening:[104, 56, 0, 80, 112, 32, 52, 36, 40, 52]
notch:[292, 36, 80, 328, 308, 48, 60, 0, 76, 72]
returns:[76, 0, 56, 64, 108, 72, 40, 28, 52, 40]
detail:[504, 48, 40, 152, 376, 72, 48, 0, 96, 260]
vista:[184, 0, 0, 4, 40, 4, 4, 0, 0, 4]
rhythms:[12, 28, 0, 328, 352, 0, 0, 0, 0, 8]
appropriate:[100, 92, 84, 144, 320, 144, 72, 0, 56, 136]
forest:[252, 8, 12, 36, 92, 8, 28, 0, 8, 8]
scratches:[388, 0, 0, 88, 36, 116, 28, 36, 216, 136]
wouldnt:[148, 60, 24, 64, 0, 52, 0, 40, 20, 20]
immediately:[340, 448, 324, 576, 596, 756, 388, 544, 336, 0]
symphony:[12, 44, 0, 96, 1536, 0, 0, 0, 0, 4]
sleep:[132, 1092, 100, 516, 228, 284, 20, 104, 76, 0]
hungry:[48, 104, 76, 68, 32, 156, 8, 0, 0, 28]
stretched:[24, 28, 0, 16, 60, 16, 56, 0, 32, 4]
sleek:[20, 0, 0, 20, 8, 20, 12, 28, 32, 32]
sonny:[0, 0, 0, 660, 76, 0, 0, 0, 0, 0]
behavior:[12, 8, 0, 20, 84, 88, 8, 0, 0, 80]
naughty:[92, 4, 0, 12, 16, 16, 4, 0, 0, 8]
musician:[12, 56, 0, 720, 708, 4, 0, 16, 0, 0]
computers:[208, 0, 0, 4, 48, 0, 12, 4, 84, 116]
themed:[60, 16, 136, 36, 68, 0, 4, 0, 0, 156]
flimsy:[48, 252, 12, 0, 36, 408, 284, 60, 352, 260]
website:[128, 128, 280, 0, 172, 92, 228, 180, 304, 240]
brands:[24, 196, 648, 0, 36, 364, 244, 476, 156, 164]
learn:[1048, 416, 120, 256, 852, 180, 180, 72, 0, 668]
evenings:[12, 16, 16, 20, 20, 20, 20, 8, 0, 0]
wyoming:[4, 0, 4, 4, 500, 4, 4, 0, 0, 0]
chewed:[4, 76, 48, 0, 0, 860, 60, 0, 8, 0]
newer:[636, 96, 0, 212, 152, 300, 144, 72, 160, 240]
slam:[48, 16, 0, 28, 24, 0, 0, 0, 12, 4]
scooped:[0, 0, 32, 4, 0, 144, 4, 0, 0, 0]
grammy:[0, 0, 0, 136, 72, 0, 0, 0, 0, 0]
missions:[684, 0, 0, 0, 0, 0, 0, 0, 0, 4]
scratched:[188, 48, 0, 92, 44, 64, 28, 36, 92, 96]
severe:[36, 0, 40, 36, 60, 100, 36, 284, 32, 24]
stunk:[16, 84, 4, 8, 4, 12, 4, 0, 0, 0]
sweet:[356, 96, 2028, 980, 648, 120, 148, 364, 0, 72]
incorporates:[20, 8, 4, 84, 60, 4, 0, 0, 0, 8]
instructions:[148, 916, 236, 0, 96, 484, 1008, 340, 920, 312]
notes:[176, 136, 88, 1040, 1812, 68, 44, 176, 0, 1088]
eager:[24, 8, 20, 48, 56, 36, 0, 8, 8, 12]
straps:[4, 272, 0, 0, 8, 16, 88, 0, 168, 0]
ohio:[8, 8, 20, 44, 44, 24, 12, 8, 0, 16]
repetition:[24, 0, 0, 68, 52, 12, 0, 0, 0, 0]
couldn:[1008, 1148, 788, 720, 812, 808, 696, 676, 668, 0]
spring:[0, 152, 160, 180, 176, 200, 724, 136, 272, 68]
shack:[8, 0, 0, 16, 40, 24, 8, 0, 48, 40]
elongated:[0, 116, 0, 16, 0, 0, 4, 0, 0, 8]
groomer:[0, 0, 0, 0, 0, 132, 0, 0, 0, 0]
leave:[544, 924, 344, 648, 836, 760, 592, 1160, 764, 0]
cakes:[8, 0, 324, 0, 0, 16, 4, 12, 8, 0]
female:[144, 12, 0, 416, 512, 232, 136, 128, 44, 28]
microphone:[172, 0, 0, 56, 340, 0, 0, 0, 0, 28]
lavender:[16, 8, 40, 0, 0, 8, 8, 36, 0, 12]
vibrations:[0, 20, 0, 116, 16, 0, 16, 0, 16, 0]
doesn:[557, 1534, 876, 414, 0, 1431, 1076, 2026, 1072, 640]
sonic:[756, 0, 4, 312, 252, 8, 8, 8, 0, 8]
need:[694, 816, 1000, 344, 0, 778, 1460, 1092, 1708, 1808]
shade:[12, 24, 64, 48, 88, 0, 36, 56, 44, 24]
originally:[312, 432, 136, 532, 504, 196, 132, 136, 132, 0]
intentions:[28, 0, 0, 20, 100, 8, 4, 16, 0, 8]
often:[756, 1068, 568, 1272, 1812, 804, 660, 660, 0, 516]
users:[68, 24, 24, 0, 12, 72, 48, 68, 48, 144]
volume:[120, 400, 0, 312, 960, 96, 120, 88, 72, 220]
canada:[28, 0, 60, 56, 148, 0, 16, 28, 20, 24]
materials:[0, 88, 24, 16, 80, 92, 260, 36, 212, 140]
conditioning:[4, 8, 0, 0, 0, 8, 8, 92, 36, 0]
loose:[196, 312, 392, 180, 128, 256, 380, 0, 348, 148]
http:[4, 16, 28, 0, 12, 8, 20, 20, 20, 4]
hardly:[260, 148, 0, 296, 392, 132, 92, 128, 100, 120]
lasting:[72, 0, 112, 108, 112, 216, 132, 340, 116, 64]
useful:[248, 524, 84, 0, 220, 180, 288, 128, 380, 812]
cynical:[12, 0, 0, 92, 20, 0, 4, 0, 0, 0]
coleman:[0, 0, 0, 92, 28, 0, 12, 0, 156, 8]
private:[12, 40, 12, 64, 120, 8, 20, 12, 0, 12]
soaking:[0, 48, 16, 0, 4, 20, 80, 32, 28, 12]
technical:[128, 0, 0, 168, 552, 12, 44, 16, 92, 68]
companion:[56, 0, 0, 76, 216, 80, 16, 12, 16, 48]
breakdown:[20, 0, 8, 108, 56, 8, 4, 0, 8, 20]
barbie:[44, 0, 0, 12, 4, 0, 0, 0, 192, 4]
ride:[304, 136, 28, 540, 212, 48, 48, 0, 392, 28]
gates:[20, 692, 0, 24, 20, 0, 0, 0, 0, 0]
engine:[392, 52, 16, 0, 28, 24, 272, 8, 932, 4]
stroller:[0, 524, 0, 0, 0, 4, 4, 0, 8, 0]
end:[1434, 928, 0, 1372, 1291, 845, 1412, 664, 852, 738]
fifties:[0, 0, 0, 100, 124, 4, 4, 8, 0, 0]
showcases:[16, 0, 4, 236, 152, 0, 0, 8, 0, 8]
dumped:[12, 40, 28, 36, 16, 60, 24, 12, 0, 12]
lines:[288, 0, 56, 716, 616, 56, 236, 544, 108, 524]
packed:[248, 64, 520, 136, 112, 0, 128, 104, 68, 136]
liner:[20, 224, 0, 544, 592, 128, 36, 252, 64, 12]
fails:[112, 24, 0, 96, 124, 52, 100, 32, 88, 48]
jake:[32, 0, 8, 24, 1264, 4, 0, 0, 0, 0]
mistake:[204, 252, 224, 208, 200, 196, 172, 160, 0, 184]
rich:[224, 0, 744, 576, 772, 24, 28, 212, 20, 72]
rice:[16, 4, 704, 176, 8, 116, 4, 12, 0, 0]
praise:[136, 20, 24, 280, 452, 36, 20, 36, 0, 16]
forum:[24, 0, 0, 8, 12, 16, 4, 0, 44, 12]
special:[1192, 1460, 504, 884, 1084, 232, 0, 272, 156, 444]
noted:[0, 88, 64, 132, 216, 104, 136, 52, 100, 88]
significance:[28, 0, 4, 84, 84, 0, 4, 4, 0, 8]
airplane:[16, 16, 0, 64, 28, 0, 0, 16, 32, 4]
progressive:[4, 0, 0, 380, 244, 4, 4, 0, 0, 0]
attacked:[112, 0, 4, 8, 40, 28, 20, 4, 0, 4]
family:[480, 892, 1232, 456, 1344, 460, 388, 428, 0, 764]
happens:[384, 224, 0, 204, 272, 192, 176, 128, 96, 120]
shaft:[12, 12, 0, 72, 8, 0, 320, 8, 124, 0]
referred:[24, 0, 24, 52, 84, 0, 8, 12, 24, 32]
reproduction:[4, 0, 4, 24, 76, 8, 4, 8, 0, 24]
gift:[516, 2760, 1900, 536, 668, 376, 0, 836, 404, 1460]
slightly:[448, 320, 572, 552, 692, 296, 368, 396, 0, 292]
career:[64, 0, 0, 1256, 916, 8, 8, 20, 0, 80]
wanting:[208, 96, 76, 260, 292, 80, 128, 76, 88, 0]
riff:[0, 0, 0, 292, 124, 0, 0, 0, 8, 12]
education:[16, 24, 8, 52, 192, 8, 4, 0, 0, 84]
called:[1040, 368, 472, 1204, 1044, 452, 436, 0, 368, 352]
told:[464, 548, 412, 436, 584, 488, 0, 456, 368, 356]
compost:[0, 0, 32, 0, 0, 0, 132, 0, 0, 0]
release:[756, 168, 0, 2600, 1508, 96, 224, 76, 108, 80]
turns:[564, 284, 188, 312, 352, 236, 332, 132, 236, 0]
newly:[48, 0, 28, 96, 68, 56, 92, 24, 16, 24]
gradually:[44, 32, 20, 68, 112, 48, 32, 40, 0, 12]
tried:[404, 1118, 2196, 0, 160, 1460, 776, 2274, 1008, 500]
remastered:[12, 0, 0, 592, 332, 0, 0, 0, 0, 0]
explode:[68, 4, 20, 48, 44, 0, 8, 12, 0, 4]
brave:[40, 0, 28, 72, 164, 8, 4, 0, 8, 8]
abrasive:[0, 0, 0, 36, 24, 4, 20, 64, 28, 0]
jane:[12, 8, 0, 232, 76, 4, 4, 8, 0, 16]
similar:[580, 308, 512, 628, 792, 0, 368, 352, 356, 412]
lotions:[0, 0, 0, 0, 0, 0, 0, 652, 0, 0]
shape:[360, 460, 348, 212, 200, 480, 380, 0, 228, 308]
thousands:[88, 0, 40, 56, 88, 32, 48, 20, 28, 72]
wives:[0, 0, 0, 4, 440, 0, 4, 0, 0, 0]
gravel:[8, 0, 4, 8, 8, 40, 48, 0, 92, 0]
connector:[40, 0, 4, 0, 36, 16, 228, 0, 168, 28]
flawed:[64, 12, 0, 32, 88, 16, 20, 0, 16, 16]
titanic:[28, 0, 4, 12, 84, 0, 0, 4, 0, 0]
driven:[80, 0, 12, 268, 184, 20, 52, 12, 96, 48]
programmed:[52, 4, 0, 24, 24, 12, 16, 0, 0, 52]
gerber:[0, 144, 0, 0, 0, 8, 4, 0, 0, 0]
weapons:[1744, 0, 0, 20, 4, 4, 12, 0, 0, 0]
roller:[56, 0, 4, 40, 40, 8, 112, 32, 24, 40]
indicated:[20, 36, 60, 0, 76, 56, 88, 48, 88, 52]
singer:[16, 0, 0, 1556, 1144, 0, 0, 40, 0, 8]
tone:[100, 36, 44, 656, 1336, 0, 20, 292, 28, 104]
against:[1136, 544, 0, 532, 668, 272, 340, 180, 296, 176]
musicianship:[4, 0, 0, 400, 256, 0, 0, 32, 0, 16]
pouring:[16, 68, 152, 24, 28, 24, 16, 16, 72, 0]
holiday:[32, 20, 164, 44, 144, 32, 12, 0, 8, 164]
spilled:[8, 36, 36, 20, 0, 44, 8, 36, 48, 56]
manufacturer:[48, 276, 124, 0, 0, 340, 424, 132, 404, 216]
remind:[64, 24, 40, 232, 160, 16, 16, 28, 0, 64]
withstand:[24, 60, 12, 0, 56, 64, 52, 8, 32, 28]
vacuum:[4, 52, 112, 0, 8, 140, 656, 12, 96, 12]
encourage:[36, 92, 40, 68, 84, 32, 20, 20, 0, 40]
holders:[8, 40, 0, 0, 8, 8, 244, 28, 28, 24]
era:[264, 0, 0, 1212, 896, 12, 16, 32, 24, 56]
indicates:[0, 16, 24, 28, 60, 28, 28, 20, 40, 44]
pesky:[28, 0, 0, 4, 0, 32, 48, 4, 16, 16]
potato:[0, 0, 132, 4, 4, 24, 16, 0, 0, 0]
definitly:[80, 40, 16, 44, 16, 0, 0, 12, 16, 8]
tomb:[388, 0, 0, 0, 0, 0, 0, 0, 0, 0]
stores:[264, 432, 1204, 124, 0, 596, 728, 1492, 476, 468]
techno:[32, 0, 0, 360, 244, 0, 0, 0, 0, 4]
sharp:[148, 312, 188, 232, 244, 388, 1076, 0, 84, 228]
slip:[92, 252, 0, 128, 56, 144, 180, 44, 160, 88]
species:[28, 16, 8, 12, 28, 12, 28, 0, 0, 8]
firing:[72, 0, 8, 12, 16, 0, 8, 0, 12, 0]
logic:[96, 0, 8, 48, 72, 12, 16, 0, 40, 92]
flies:[52, 16, 12, 40, 20, 40, 380, 0, 8, 4]
shake:[44, 264, 168, 116, 144, 148, 68, 84, 68, 0]
spice:[36, 0, 1084, 240, 44, 0, 4, 52, 0, 0]
honor:[48, 0, 16, 36, 124, 12, 36, 4, 12, 24]
aacute:[8, 0, 8, 44, 160, 0, 0, 12, 0, 20]
tops:[84, 88, 44, 100, 72, 48, 76, 56, 48, 0]
screen:[1464, 36, 40, 48, 652, 48, 92, 0, 164, 752]
jars:[4, 20, 176, 0, 0, 16, 0, 64, 8, 4]
mexican:[28, 0, 176, 28, 60, 8, 20, 0, 0, 0]
finest:[84, 0, 76, 872, 712, 4, 36, 4, 12, 40]
pages:[64, 284, 8, 40, 176, 48, 16, 4, 0, 1600]
controllers:[676, 0, 0, 0, 4, 0, 8, 0, 0, 0]
moist:[4, 8, 212, 0, 0, 56, 40, 216, 84, 0]
entrance:[56, 16, 4, 32, 52, 16, 12, 4, 0, 4]
clumps:[0, 8, 28, 0, 0, 564, 84, 56, 0, 0]
net:[176, 68, 52, 52, 60, 60, 60, 0, 104, 40]
cable:[488, 28, 8, 12, 248, 36, 196, 0, 780, 88]
nes:[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
nasty:[104, 164, 176, 92, 60, 272, 76, 84, 40, 0]
intense:[316, 0, 280, 324, 484, 40, 16, 104, 8, 36]
catching:[120, 48, 0, 48, 88, 48, 68, 12, 20, 60]
settings:[284, 56, 0, 20, 188, 76, 220, 176, 68, 84]
heater:[4, 32, 80, 0, 0, 12, 28, 16, 156, 0]
estate:[16, 8, 20, 12, 20, 0, 16, 4, 0, 152]
acoustic:[12, 4, 0, 960, 604, 0, 4, 8, 0, 4]
spicy:[0, 0, 1332, 0, 16, 8, 0, 112, 0, 0]
brass:[16, 12, 0, 84, 396, 0, 612, 28, 48, 12]
tool:[100, 132, 0, 32, 132, 228, 1644, 36, 988, 512]
weren:[268, 232, 156, 300, 288, 140, 132, 0, 92, 108]
driving:[212, 88, 0, 600, 300, 28, 64, 48, 548, 24]
racer:[236, 0, 0, 0, 20, 0, 0, 0, 20, 0]
races:[316, 0, 12, 12, 32, 8, 0, 0, 12, 0]
tons:[688, 120, 92, 56, 64, 116, 68, 84, 0, 156]
heated:[0, 68, 92, 12, 0, 8, 40, 36, 40, 4]
unbeatable:[40, 0, 24, 40, 16, 8, 16, 16, 16, 20]
shame:[324, 60, 88, 600, 480, 84, 84, 100, 0, 92]
angles:[304, 44, 4, 0, 32, 56, 60, 12, 32, 24]
godsend:[0, 48, 0, 0, 4, 48, 16, 24, 20, 8]
influenced:[48, 0, 8, 516, 320, 0, 12, 20, 0, 0]
financial:[16, 0, 8, 12, 48, 12, 4, 0, 0, 688]
karajan:[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
reaching:[68, 52, 16, 88, 108, 16, 60, 0, 36, 12]
trick:[160, 224, 136, 108, 0, 264, 184, 216, 160, 64]
dreamy:[0, 0, 0, 184, 92, 0, 0, 12, 0, 0]
kitty:[0, 28, 52, 8, 0, 788, 24, 8, 32, 8]
lightweight:[28, 140, 0, 36, 56, 72, 404, 92, 180, 96]
running:[788, 380, 236, 288, 312, 624, 544, 0, 844, 312]
floors:[36, 116, 4, 12, 12, 68, 4, 0, 92, 16]
talented:[20, 0, 8, 900, 508, 0, 12, 16, 0, 20]
flick:[16, 8, 0, 8, 92, 52, 8, 0, 0, 0]
harder:[544, 212, 144, 196, 152, 188, 248, 108, 0, 172]
haven:[1380, 992, 552, 784, 888, 804, 896, 816, 792, 0]
peppers:[4, 0, 500, 152, 20, 0, 0, 0, 0, 0]
decides:[48, 16, 0, 12, 64, 48, 8, 0, 8, 12]
prelude:[8, 0, 0, 24, 208, 0, 0, 4, 0, 0]
transport:[24, 108, 16, 32, 56, 20, 28, 0, 188, 24]
rolls:[40, 100, 236, 0, 56, 72, 152, 32, 176, 52]
pencil:[8, 4, 0, 0, 12, 4, 24, 96, 0, 180]
rated:[240, 164, 84, 276, 188, 140, 160, 0, 260, 80]
super:[2100, 716, 764, 372, 0, 504, 428, 708, 540, 464]
caller:[0, 0, 0, 0, 8, 0, 0, 0, 0, 444]
engage:[32, 56, 0, 20, 60, 20, 16, 0, 0, 16]
martin:[8, 0, 0, 356, 236, 8, 124, 4, 0, 4]
appetite:[8, 8, 48, 56, 24, 52, 0, 0, 0, 0]
strategy:[740, 8, 0, 20, 24, 8, 12, 8, 8, 0]
ring:[156, 672, 52, 168, 120, 168, 204, 0, 240, 148]
farther:[76, 0, 16, 16, 32, 276, 52, 16, 24, 0]
couch:[64, 76, 12, 24, 32, 120, 4, 0, 40, 0]
johnson:[28, 16, 0, 136, 292, 12, 8, 48, 36, 4]
bargain:[112, 0, 140, 88, 248, 40, 88, 88, 56, 132]
professional:[24, 0, 52, 84, 400, 112, 276, 140, 252, 420]
cheese:[40, 8, 1656, 64, 28, 52, 8, 0, 8, 4]
decided:[756, 1312, 628, 532, 0, 1008, 924, 892, 548, 484]
skills:[448, 132, 12, 356, 284, 28, 20, 0, 12, 116]
companies:[172, 0, 72, 52, 88, 40, 60, 116, 56, 100]
locally:[8, 24, 416, 0, 24, 128, 268, 244, 136, 84]
pounds:[12, 152, 212, 24, 0, 564, 132, 28, 132, 20]
shoulder:[76, 164, 0, 200, 36, 276, 296, 104, 36, 52]
chemicals:[0, 60, 128, 0, 0, 136, 148, 196, 36, 20]
dance:[116, 124, 16, 1332, 1044, 20, 0, 100, 0, 128]
fully:[432, 292, 0, 340, 516, 188, 248, 128, 480, 164]
waves:[48, 36, 0, 96, 112, 0, 8, 60, 16, 4]
models:[184, 104, 0, 12, 96, 280, 288, 48, 204, 388]
timers:[20, 0, 4, 12, 20, 16, 176, 0, 0, 8]
expected:[624, 392, 792, 0, 704, 560, 948, 548, 948, 1140]
voices:[252, 16, 0, 512, 952, 12, 4, 24, 0, 28]
amaze:[44, 0, 16, 48, 32, 0, 0, 4, 0, 4]
eye:[392, 216, 152, 216, 264, 216, 140, 732, 0, 188]
eliminates:[24, 44, 24, 0, 4, 52, 28, 100, 56, 8]
slow:[688, 204, 168, 1024, 1392, 132, 364, 0, 240, 232]
wanted:[1040, 1497, 832, 790, 1088, 0, 1056, 880, 933, 1228]
exchanged:[12, 68, 0, 12, 0, 28, 28, 0, 16, 8]
mixes:[12, 0, 208, 252, 176, 72, 0, 44, 12, 12]
flash:[80, 48, 20, 36, 68, 28, 36, 0, 44, 112]
mattress:[0, 1140, 0, 0, 0, 4, 0, 0, 16, 4]
feels:[484, 284, 0, 356, 372, 228, 340, 1548, 280, 292]
bucks:[440, 184, 140, 0, 148, 136, 232, 140, 272, 180]
regrets:[28, 16, 0, 24, 64, 12, 16, 12, 20, 24]
students:[20, 0, 32, 36, 300, 8, 8, 8, 8, 1336]
guarantee:[180, 36, 40, 84, 124, 52, 112, 0, 48, 32]
enemy:[760, 0, 8, 96, 24, 8, 16, 8, 16, 0]
recommend:[720, 704, 944, 0, 624, 1028, 1196, 1583, 1408, 1396]
vibes:[0, 0, 0, 220, 36, 0, 0, 4, 0, 4]
rips:[20, 20, 8, 56, 28, 36, 24, 0, 16, 8]
flaps:[0, 100, 0, 0, 0, 48, 8, 0, 8, 4]
knack:[24, 8, 0, 52, 40, 8, 0, 0, 0, 0]
gray:[40, 24, 52, 68, 52, 0, 40, 32, 40, 84]
amused:[28, 44, 12, 28, 0, 24, 0, 0, 0, 0]
vendor:[68, 28, 184, 0, 40, 88, 64, 124, 100, 288]
ingredients:[0, 0, 884, 44, 12, 320, 12, 520, 8, 8]
expectations:[216, 104, 168, 140, 280, 0, 248, 108, 192, 204]
mechanism:[8, 404, 16, 0, 8, 256, 296, 32, 240, 44]
hooks:[16, 44, 0, 372, 52, 0, 116, 60, 128, 68]
jaws:[32, 0, 8, 20, 0, 116, 8, 8, 60, 0]
horror:[524, 36, 8, 196, 64, 20, 12, 8, 0, 44]
black:[520, 0, 1296, 1048, 672, 348, 2028, 304, 588, 936]
inverter:[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
xbox:[872, 0, 0, 0, 0, 0, 0, 0, 8, 0]
spyro:[392, 0, 0, 0, 0, 0, 0, 0, 0, 0]
such:[1360, 789, 698, 1814, 2117, 652, 552, 679, 0, 808]
boring:[1352, 72, 36, 448, 460, 24, 32, 8, 0, 124]
showers:[4, 76, 0, 0, 4, 8, 8, 96, 24, 4]
classic:[2460, 0, 136, 4484, 1858, 76, 268, 252, 104, 294]
stayed:[76, 132, 36, 140, 192, 88, 112, 160, 100, 0]
absolute:[296, 100, 140, 484, 400, 128, 48, 112, 0, 84]
quintet:[0, 0, 0, 224, 288, 0, 4, 8, 0, 0]
resulted:[36, 20, 0, 44, 56, 24, 24, 40, 28, 16]
moisturizer:[0, 0, 0, 0, 0, 0, 0, 2204, 0, 0]
charts:[16, 0, 8, 384, 188, 0, 4, 8, 12, 160]
featured:[120, 12, 0, 440, 428, 12, 20, 24, 8, 60]
textures:[144, 76, 40, 116, 196, 28, 0, 0, 0, 8]
foam:[4, 408, 32, 0, 24, 12, 88, 100, 132, 32]
florida:[12, 0, 88, 16, 40, 76, 136, 80, 152, 24]
jazz:[0, 20, 16, 2924, 1620, 0, 44, 68, 12, 16]
drool:[20, 32, 8, 16, 0, 56, 0, 0, 0, 0]
remains:[204, 60, 64, 648, 472, 68, 84, 56, 0, 56]
features:[1004, 272, 0, 996, 904, 64, 192, 72, 212, 988]
white:[292, 336, 776, 660, 444, 396, 0, 580, 228, 464]
openly:[8, 4, 8, 24, 112, 0, 0, 4, 0, 0]
furniture:[16, 152, 0, 12, 16, 204, 12, 0, 244, 16]
textured:[0, 20, 16, 60, 24, 40, 0, 16, 0, 32]
solves:[8, 40, 0, 0, 0, 40, 20, 12, 48, 20]
portland:[0, 0, 48, 16, 24, 0, 0, 0, 0, 32]
huge:[1320, 636, 540, 1048, 632, 656, 436, 420, 0, 384]
imagine:[268, 412, 240, 500, 624, 276, 260, 184, 0, 192]
town:[348, 84, 148, 476, 308, 292, 136, 60, 104, 0]
superb:[428, 12, 124, 628, 1460, 0, 68, 48, 20, 92]
might:[1268, 892, 908, 1328, 1472, 972, 868, 796, 840, 0]
baroque:[0, 0, 4, 60, 496, 0, 0, 0, 0, 0]
engineering:[16, 20, 0, 68, 216, 36, 76, 12, 32, 236]
girl:[476, 612, 76, 1584, 664, 196, 0, 208, 48, 168]
decrease:[20, 28, 8, 4, 4, 40, 32, 44, 0, 8]
whatever:[552, 272, 320, 684, 576, 280, 0, 204, 216, 224]
yards:[28, 148, 0, 12, 0, 112, 300, 0, 20, 20]
tinny:[8, 80, 0, 44, 48, 0, 0, 8, 0, 16]
improving:[28, 8, 8, 24, 44, 24, 8, 56, 0, 8]
